688473,8,1.854380e+01,-1.902604e+04,-1.897650e+04,4.000000e-01
DTI,8,18.544,-19026,-18976,0.45
Ball And Stick,6,16.748,-19398,-19361,0.95
Zeppelin And Stick,7,12.165,-20551,-20507,0.15
Zeppelin And Stick (Tortuosity),6,13.046,-20300,-20263,0.3
Zeppelin Stick Dot,8,8.1739,-21985,-21935,0.02
Zeppelin Two Sticks,12,10.281,-21149,-21074,0.02
Tensor Stick Dot,11,6.9427,-22569,-22501,0.25
