DTI,8,19.234,-18894,-18844,0.4
Ball And Stick,6,18.518,-19035,-18998,0.75
Zeppelin And Stick,7,12.654,-20409,-20365,0.45
Zeppelin And Stick (Tortuosity),6,14.308,-19967,-19930,0.38
Zeppelin Stick Dot,8,9.2094,-21554,-21505,0.07
Zeppelin Two Sticks,12,11.024,-20897,-20822,0.04
Tensor Stick Dot,11,8.6492,-21775,-21707,0.15
