DTI,8,20.337,-18693,-18643,0.4
Ball And Stick,6,19.934,-18769,-18732,0.65
Zeppelin And Stick,7,13.695,-20123,-20079,0.15
Zeppelin And Stick (Tortuosity),6,15.221,-19743,-19706,0.28
Zeppelin Stick Dot,8,10.018,-21250,-21201,0.07
Zeppelin Two Sticks,12,11.49,-20747,-20673,0.03
Tensor Stick Dot,11,9.2912,-21516,-21448,0.55
