DTI,8,22.599,-18312,-18262,0.4
Ball And Stick,6,22.154,-18387,-18350,0.75
Zeppelin And Stick,7,17.374,-19263,-19220,0.35
Zeppelin And Stick (Tortuosity),6,18.451,-19048,-19011,0.28
Zeppelin Stick Dot,8,12.955,-20322,-20272,0.08
Zeppelin Two Sticks,12,14.195,-19983,-19909,0.03
Tensor Stick Dot,11,11.538,-20734,-20666,0.4
